,p1_conf,p1_dog
0,0.0970486,False
1,0.323581,True
2,0.716012,True
3,0.17027799999999998,False
4,0.555712,True
5,0.425595,True
6,0.34170300000000003,True
7,0.566142,True
8,0.487574,True
9,0.511319,True
10,0.957979,True
11,0.377417,True
12,0.966327,True
13,0.99165,True
14,0.953442,True
15,0.626152,True
16,0.714719,True
17,0.46976,True
18,0.700377,True
19,0.809197,True
20,0.995026,True
21,0.821664,True
22,0.130432,False
23,0.809197,True
24,0.330741,True
25,0.733942,True
26,0.793469,True
27,0.309706,True
28,0.738995,False
29,0.999201,True
31,0.943575,True
33,0.972494,True
34,0.369275,True
36,0.908703,True
37,0.8124819999999999,True
38,0.259916,True
39,0.822103,True
40,0.5464060000000001,True
41,0.993225,True
43,0.707046,True
44,0.610946,True
45,0.943082,True
46,0.987997,True
47,0.949562,True
48,0.466778,True
49,0.85005,True
50,0.542982,True
51,0.762211,True
52,0.949591,False
53,0.291539,True
54,0.529012,True
56,0.281463,True
57,0.473303,False
58,0.251801,False
59,0.791416,True
60,0.913255,True
61,0.238525,True
62,0.120298,True
63,0.813507,True
65,0.479896,True
66,0.383404,True
67,0.663601,False
69,0.311861,False
70,0.960513,True
71,0.734684,True
75,0.32042,True
76,0.839097,True
77,0.8379559999999999,True
78,0.364729,True
79,0.995368,True
80,0.5099670000000001,True
81,0.93112,True
82,0.575751,True
84,0.874566,True
85,0.534327,True
86,0.799551,True
87,0.245048,True
89,0.7143189999999999,True
90,0.836052,True
92,0.437216,True
93,0.8321770000000001,True
94,0.806674,True
95,0.153718,False
96,0.678537,True
98,0.6197819999999999,True
99,0.476913,True
100,0.99912,True
102,0.513191,True
103,0.931861,True
104,0.972019,True
105,0.808396,False
106,0.969171,True
107,0.921393,True
108,0.974781,True
111,0.3980530000000001,True
112,0.16829000000000002,False
114,0.945495,True
115,0.841001,True
116,0.6227520000000001,True
117,0.534409,False
119,0.980148,True
120,0.993449,True
121,0.955156,True
122,0.664181,True
123,0.153718,False
125,0.868107,True
126,0.378151,True
127,0.522644,True
128,0.661953,True
129,0.6164569999999999,True
130,0.352946,True
131,0.471403,True
134,0.51473,True
135,0.905334,True
136,0.984086,True
138,0.673664,True
139,0.832435,True
140,0.989882,True
141,0.478616,False
142,0.668613,True
143,0.945905,True
144,0.35882800000000004,False
145,0.41333,True
147,0.690517,True
149,0.275242,True
150,0.935804,True
151,0.207281,True
152,0.39333,True
153,0.496348,False
154,0.677589,True
155,0.366248,False
156,0.771008,True
157,0.14471199999999998,False
158,0.507951,True
160,0.933016,False
161,0.583936,True
162,0.286558,True
163,0.312299,False
164,0.267612,False
166,0.254587,True
167,0.899086,True
168,0.8955290000000001,True
169,0.224218,False
170,0.190292,False
172,0.57812,True
173,0.987407,True
174,0.863874,True
175,0.43258,True
176,0.919832,True
177,0.8415969999999999,True
178,0.998021,True
181,0.968623,True
183,0.30691,True
184,0.798481,True
187,0.8765430000000001,True
191,0.321676,True
193,0.389513,True
196,0.6955479999999999,True
197,0.26024200000000003,True
198,0.90708,True
199,0.8548610000000001,True
200,0.354733,True
201,0.29251900000000003,True
202,0.509879,True
203,0.65228,False
205,0.7837649999999999,True
206,0.7112350000000001,True
207,0.186498,True
208,0.971581,False
209,0.352793,False
210,0.42315,False
211,0.757547,True
212,0.662183,False
213,0.394507,True
214,0.919649,False
215,0.971512,False
216,0.996952,True
217,0.249012,True
219,0.7147979999999999,False
220,0.759907,True
221,0.292092,True
223,0.907559,True
224,0.521788,False
225,0.997509,False
226,0.8236479999999999,True
227,0.5445760000000001,True
229,0.333486,True
231,0.633652,False
232,0.882654,False
233,0.951337,True
235,0.413688,True
236,0.49538,True
237,0.21960900000000005,True
238,0.128935,False
239,0.450539,True
240,0.650003,True
242,0.346468,True
244,0.96111,True
245,0.979803,True
246,0.8086810000000001,True
248,0.394404,True
249,0.567475,True
251,0.999281,False
252,0.742421,True
253,0.980213,True
254,0.903064,False
255,0.71951,True
257,0.92254,True
258,0.430583,True
259,0.958452,True
260,0.50537,True
261,0.461076,True
262,0.665238,False
263,0.685084,True
264,0.891227,True
265,0.293493,True
266,0.3362,False
267,0.547401,True
268,0.853684,False
270,0.903712,True
271,0.962985,True
275,0.8417680000000001,False
276,0.711148,True
277,0.981819,False
278,0.8639870000000001,True
279,0.604938,True
280,0.393527,False
281,0.670892,False
282,0.927021,True
284,0.664538,True
285,0.993651,False
287,0.216562,True
288,0.997692,True
292,0.800975,True
293,0.887625,True
294,0.541196,False
295,0.976255,True
296,0.660085,True
297,0.767696,True
298,0.186387,False
299,0.572422,False
300,0.936882,False
301,0.7974100000000001,False
304,0.08248860000000001,False
305,0.564688,True
306,0.963558,True
308,0.6106550000000001,True
311,0.341276,True
312,0.736871,False
314,0.663138,True
315,0.330573,False
316,0.156276,True
317,0.262936,False
319,0.468619,True
320,0.754799,True
321,0.991682,False
323,0.736759,False
324,0.494969,True
325,0.438054,True
327,0.918144,True
328,0.727039,True
329,0.7105229999999999,True
330,0.539036,True
331,0.895698,False
332,0.160888,True
335,0.5250319999999999,True
336,0.988916,True
337,0.50469,True
338,0.134081,True
340,0.274637,True
342,0.796313,True
343,0.601712,True
344,0.153862,True
346,0.777562,True
347,0.6248020000000001,True
348,0.530416,True
349,0.257415,True
350,0.999715,True
351,0.982755,True
352,0.369389,True
353,0.26332300000000003,True
354,0.451516,True
355,0.908703,True
357,0.442713,True
358,0.6173890000000001,True
359,0.394486,True
360,0.950851,True
361,0.315163,True
362,0.757547,True
363,0.57314,True
364,0.312221,True
366,0.765979,False
367,0.942911,False
368,0.649209,True
369,0.908457,False
370,0.13303299999999998,True
371,0.392535,True
372,0.5230859999999999,True
373,0.663047,True
375,0.272972,False
376,0.936662,True
377,0.8061149999999999,True
378,0.285555,True
379,0.32563800000000004,True
380,0.352486,True
382,0.8696809999999999,True
383,0.6173890000000001,True
384,0.858764,True
387,0.628119,True
388,0.7418600000000001,True
389,0.903048,True
390,0.782058,True
391,0.997071,False
392,0.995941,False
393,0.8534069999999999,True
394,0.681495,True
395,0.354823,True
397,0.524454,True
398,0.676439,False
399,0.610499,True
400,0.526488,True
401,0.990793,True
402,0.58823,False
404,0.23407600000000006,True
406,0.203999,True
407,0.280949,False
409,0.990253,False
410,0.585441,True
411,0.331098,False
412,0.196015,True
413,0.332897,True
414,0.416769,True
415,0.6644869999999999,True
416,0.416769,True
417,0.960199,True
418,0.585441,True
420,0.26623800000000003,True
421,0.995143,True
422,0.980071,True
423,0.7635390000000001,True
425,0.5054960000000001,True
427,0.515933,True
428,0.85659,True
429,0.14802,True
431,0.8380120000000001,True
432,0.872064,True
434,0.938048,True
435,0.940724,True
436,0.999833,False
438,0.925505,True
439,0.100896,False
440,0.8487040000000001,False
441,0.5479350000000001,True
442,0.909106,True
444,0.4824520000000001,True
445,0.351308,True
446,0.907083,False
447,0.907083,False
448,0.351308,True
450,0.384188,True
451,0.450722,True
452,0.372202,True
453,0.999403,False
455,0.367368,True
456,0.621931,True
458,0.387608,True
459,0.733256,True
460,0.971358,True
462,0.3362,False
463,0.806163,True
464,0.506312,True
465,0.295483,True
466,0.568809,True
467,0.8644149999999999,True
468,0.700466,False
469,0.668164,True
470,0.756992,True
471,0.35285700000000003,False
472,0.91933,True
473,0.967345,True
475,0.677408,True
476,0.428756,True
477,0.506312,True
479,0.5489069999999999,True
480,0.8179529999999999,True
481,0.279846,False
482,0.999828,True
483,0.650814,True
485,0.626913,True
486,0.490068,True
487,0.427742,True
488,0.6993550000000001,True
489,0.709146,True
490,0.501159,True
491,0.905972,True
492,0.701852,True
493,0.888181,True
494,0.954844,False
495,0.8439110000000001,False
496,0.848735,True
498,0.432416,True
499,0.287369,False
500,0.128056,True
501,0.909951,True
502,0.7764,True
503,0.914804,True
504,0.989316,True
506,0.326873,True
507,0.546856,False
508,0.0998035,False
509,0.7848729999999999,True
510,0.6105729999999999,True
511,0.386082,True
513,0.39628,True
514,0.804177,True
515,0.8713420000000001,True
516,0.8208040000000001,True
517,0.753521,True
518,0.620768,True
519,0.292556,True
520,0.397163,True
521,0.8616510000000001,True
522,0.375415,True
523,0.8195110000000001,True
524,0.911412,True
525,0.36953,True
526,0.779137,False
527,0.4542390000000001,True
529,0.74022,True
530,0.426183,True
531,0.730959,True
532,0.873233,True
533,0.50537,True
534,0.474292,False
535,0.610807,True
536,0.366248,False
539,0.938617,True
540,0.593858,True
541,0.835102,True
542,0.574557,True
543,0.657967,True
544,0.248926,True
546,0.643147,True
547,0.58783,False
548,0.244705,True
549,0.91579,True
551,0.0903414,True
552,0.492709,False
553,0.817066,True
554,0.530104,True
555,0.372776,True
556,0.890601,False
558,0.457086,True
559,0.944032,True
560,0.253442,True
562,0.610171,True
563,0.765069,False
564,0.8971620000000001,True
565,0.721188,True
566,0.482498,True
568,0.327887,True
570,0.550506,True
571,0.789376,False
572,0.74022,True
574,0.823356,True
577,0.771984,True
578,0.8289040000000001,True
579,0.31192800000000004,False
580,0.777468,False
581,0.35986,True
583,0.938048,True
584,0.289485,False
585,0.316565,True
586,0.442534,True
587,0.58363,True
589,0.985028,True
590,0.334436,True
591,0.703224,True
592,0.539463,True
595,0.8686709999999999,True
596,0.615163,True
599,0.806757,False
600,0.243529,True
601,0.403698,True
602,0.636169,True
604,0.53318,True
605,0.524583,True
606,0.489845,True
607,0.954089,True
608,0.767005,True
611,0.8391290000000001,True
612,0.463996,True
614,0.116924,True
615,0.461164,True
616,0.600276,True
617,0.600276,True
619,0.700182,True
620,0.973846,True
621,0.893775,True
622,0.193082,True
623,0.925494,True
624,0.676439,False
625,0.363272,True
626,0.569566,False
627,0.500509,True
628,0.988307,True
629,0.66266,False
630,0.8616510000000001,True
631,0.7652770000000001,True
632,0.705092,True
633,0.538981,True
634,0.326122,True
635,0.274637,True
636,0.231695,True
637,0.207622,True
638,0.559308,True
639,0.456047,True
640,0.874431,False
641,0.654762,True
642,0.266824,True
643,0.946224,True
644,0.193869,True
645,0.737041,False
646,0.7249439999999999,True
647,0.226716,False
648,0.999306,False
649,0.912804,True
650,0.746387,True
651,0.942856,True
656,0.705092,True
657,0.972629,True
658,0.892925,True
659,0.375098,True
660,0.349195,True
661,0.700466,False
662,0.479477,False
663,0.996541,True
664,0.998886,False
665,0.658808,True
666,0.427742,True
668,0.479477,False
671,0.260702,True
672,0.8788219999999999,True
673,0.363272,True
676,0.81286,True
677,0.746135,True
678,0.8815379999999999,False
679,0.500509,True
681,0.805238,True
682,0.73548,True
683,0.814145,True
684,0.735163,True
685,0.362925,False
686,0.362835,True
687,0.992339,True
688,0.900483,True
689,0.747739,False
691,0.915303,True
693,0.467321,True
694,0.512034,True
695,0.709512,True
696,0.929266,True
698,0.478193,True
700,0.99383,True
701,0.97207,False
702,0.392108,True
703,0.978042,False
704,0.436023,True
706,0.6748930000000001,False
707,0.891193,False
708,0.0903414,True
709,0.757764,True
710,0.744819,True
713,0.333739,False
714,0.26565900000000003,True
715,0.314265,True
716,0.789,True
717,0.87713,True
718,0.611525,True
719,0.593858,True
720,0.240602,True
721,0.474292,False
722,0.560699,True
723,0.574557,True
724,0.8408709999999999,True
725,0.5044270000000001,True
726,0.383223,True
727,0.179568,False
728,0.438087,True
730,0.994712,False
732,0.8877709999999999,True
733,0.973841,True
734,0.731564,False
735,0.488555,True
736,0.951963,True
737,0.995143,True
738,0.628312,True
739,0.99731,True
740,0.919255,True
741,0.382491,True
742,0.144012,True
745,0.99383,True
746,0.17092100000000002,False
748,0.43108,True
749,0.721188,True
750,0.7153510000000001,True
753,0.351434,True
754,0.515699,True
755,0.786089,True
756,0.8483620000000001,True
757,0.581403,False
758,0.345266,True
759,0.32207,True
760,0.717776,True
761,0.946718,True
763,0.123529,True
764,0.253442,True
765,0.964929,True
766,0.999823,True
767,0.988412,True
768,0.346545,True
769,0.51661,True
770,0.8848389999999999,True
772,0.940326,True
773,0.502228,True
774,0.777468,False
775,0.999916,False
776,0.945523,True
777,0.520022,True
778,0.6138520000000001,False
779,0.989407,False
780,0.571229,True
783,0.316565,True
784,0.7199409999999999,True
785,0.6275930000000001,True
786,0.5960449999999999,True
787,0.451149,False
788,0.554331,True
789,0.324251,True
790,0.969311,True
791,0.372202,True
793,0.572349,False
794,0.713588,False
795,0.427766,True
796,0.218303,False
797,0.915351,True
798,0.556595,True
799,0.574345,True
800,0.367945,True
801,0.275318,True
802,0.217821,True
803,0.803293,True
804,0.54178,True
806,0.53318,True
807,0.833952,True
808,0.503728,True
809,0.978833,True
810,0.36866,False
811,0.568789,True
812,0.202335,False
813,0.414338,False
814,0.787812,True
815,0.979515,True
817,0.494803,False
818,0.5805279999999999,False
819,0.931668,True
820,0.843799,True
821,0.414965,True
822,0.796313,True
823,0.407117,True
825,0.16653800000000002,True
826,0.182358,True
828,0.7202189999999999,True
829,0.183283,True
830,0.729745,True
832,0.73917,True
833,0.396984,False
834,0.32774000000000003,False
835,0.307794,True
836,0.483228,True
837,0.708665,False
838,0.873841,True
840,0.451697,True
842,0.948355,True
843,0.995823,True
844,0.966896,True
845,0.420463,True
846,0.484855,True
847,0.7281529999999999,True
848,0.969518,True
849,0.993333,True
850,0.509491,True
851,0.829456,True
852,0.556595,True
853,0.7920590000000001,True
854,0.973677,True
856,0.375098,True
857,0.354674,True
859,0.685821,False
860,0.519047,True
861,0.540276,True
862,0.999953,True
863,0.270468,False
864,0.06315180000000001,False
865,0.475552,True
866,0.586937,True
867,0.393118,False
868,0.318851,False
869,0.240427,True
870,0.7132930000000001,False
871,0.8229360000000001,True
872,0.6608930000000001,True
873,0.306512,False
874,0.735163,True
875,0.113992,True
876,0.760546,True
877,0.132695,False
878,0.988013,True
880,0.3022,True
881,0.155279,False
882,0.917525,False
885,0.324579,True
886,0.355395,True
887,0.985876,True
888,0.967397,True
889,0.763333,True
890,0.223148,True
892,0.5113409999999999,True
893,0.254856,True
894,0.12903399999999998,True
895,0.778546,True
896,0.974047,False
897,0.480048,True
898,0.848514,True
899,0.546145,True
900,0.4363770000000001,True
901,0.702954,True
902,0.987643,True
904,0.794272,False
905,0.609715,False
906,0.802333,False
907,0.425176,False
908,0.829259,True
909,0.8361059999999999,False
910,0.8452559999999999,False
911,0.523926,False
912,0.787125,True
913,0.914667,True
914,0.678555,True
915,0.790371,True
916,0.294808,True
917,0.991273,False
918,0.981652,True
919,0.925621,False
920,0.602957,True
921,0.596882,True
922,0.906673,False
923,0.708974,True
924,0.27220500000000003,True
925,0.8723850000000001,True
926,0.4714930000000001,False
927,0.596796,False
928,0.858513,True
929,0.168909,True
930,0.600985,True
931,0.456092,True
932,0.267961,False
933,0.163794,True
934,0.36007100000000003,True
936,0.194773,True
938,0.868511,True
940,0.609283,True
942,0.299966,True
943,0.339324,False
945,0.999984,False
946,0.399163,True
947,0.303415,False
948,0.527659,True
950,0.4241680000000001,True
951,0.703569,True
953,0.757756,True
954,0.8683040000000001,True
955,0.516257,True
956,0.714409,True
957,0.178852,True
958,0.947164,True
959,0.92939,True
960,0.912648,True
961,0.972587,True
962,0.219166,False
963,0.964929,True
964,0.672791,True
966,0.977765,True
967,0.4780180000000001,True
968,0.814405,True
969,0.316704,True
970,0.978277,True
971,0.382113,True
972,0.484428,True
973,0.252031,True
974,0.258732,True
975,0.23762,False
976,0.515319,True
977,0.533941,False
978,0.8790120000000001,True
979,0.772894,True
980,0.694541,True
981,0.973715,True
982,0.155144,True
984,0.985222,True
985,0.960276,False
986,0.742216,True
987,0.742912,True
988,0.548497,False
989,0.849029,True
990,0.337871,False
991,0.176172,False
992,0.32816100000000004,True
993,0.5964550000000001,True
995,0.880499,True
996,0.589066,False
998,0.307672,True
999,0.998201,True
1000,0.40845,True
1001,0.360428,True
1002,0.7689229999999999,True
1005,0.804363,True
1006,0.389136,True
1007,0.111493,True
1008,0.192717,False
1011,0.548018,True
1012,0.5336989999999999,False
1013,0.991954,True
1014,0.540201,True
1015,0.175518,False
1016,0.936183,True
1018,0.25650500000000004,True
1021,0.508292,True
1022,0.622957,True
1023,0.575637,True
1024,0.43332,True
1025,0.984267,True
1026,0.379055,False
1027,0.999962,False
1028,0.6638,True
1029,0.807762,False
1031,0.963985,True
1032,0.4274810000000001,True
1033,0.497755,True
1034,0.234431,True
1035,0.960543,True
1036,0.825333,True
1038,0.97573,True
1039,0.562315,True
1041,0.982794,True
1042,0.505675,False
1043,0.876875,False
1044,0.8590459999999999,False
1045,0.442612,True
1046,0.350629,True
1047,0.930705,True
1049,0.900864,False
1050,0.997154,False
1051,0.99731,True
1052,0.5669109999999999,True
1053,0.990736,False
1054,0.112413,False
1055,0.311325,True
1056,0.786089,True
1057,0.292675,True
1058,0.7681560000000001,True
1060,0.843799,True
1061,0.454363,True
1062,0.388277,True
1063,0.878863,False
1064,0.462952,False
1065,0.8076439999999999,True
1066,0.246313,False
1067,0.8636870000000001,True
1068,0.586414,True
1069,0.2858,True
1070,0.243904,True
1071,0.342397,True
1073,0.933755,True
1074,0.967397,True
1075,0.640256,True
1076,0.503372,True
1078,0.8783200000000001,False
1079,0.691137,True
1080,0.808737,True
1081,0.346695,True
1082,0.289471,True
1083,0.8788860000000001,True
1084,0.751758,True
1085,0.990391,True
1086,0.374682,True
1087,0.935307,True
1088,0.400568,True
1089,0.148526,False
1090,0.4390770000000001,False
1091,0.545502,True
1093,0.473555,False
1094,0.399217,True
1095,0.553901,True
1096,0.961643,True
1097,0.462594,True
1098,0.8918709999999999,True
1099,0.944692,False
1100,0.523191,True
1101,0.413535,True
1102,0.847292,True
1103,0.883991,True
1104,0.304902,True
1106,0.472324,True
1107,0.457356,True
1108,0.619382,True
1109,0.931275,True
1110,0.945523,True
1111,0.162935,False
1112,0.961902,True
1113,0.843359,True
1114,0.998673,False
1115,0.677408,True
1116,0.967103,True
1117,0.501767,False
1118,0.185382,False
1119,0.810158,True
1120,0.682082,True
1121,0.341663,True
1122,0.296145,False
1123,0.359586,False
1124,0.7582180000000001,False
1125,0.218408,True
1126,0.829307,True
1127,0.6061880000000001,False
1128,0.95207,True
1129,0.939134,True
1130,0.48205,True
1131,0.594333,False
1132,0.478278,False
1133,0.266414,True
1134,0.255971,True
1135,0.30296100000000004,False
1136,0.384559,True
1137,0.462408,True
1138,0.457164,True
1139,0.958834,True
1140,0.827469,True
1141,0.14644,False
1142,0.656463,True
1144,0.821615,False
1145,0.5159189999999999,True
1146,0.255327,True
1147,0.261112,True
1148,0.420463,True
1149,0.33576100000000003,True
1150,0.599076,True
1152,0.67575,True
1153,0.835491,True
1154,0.240695,True
1155,0.581835,True
1156,0.8262719999999999,True
1157,0.950526,False
1158,0.991772,True
1159,0.263256,False
1160,0.83939,True
1161,0.176495,False
1162,0.246762,True
1163,0.5309149999999999,True
1164,0.99775,True
1165,0.950053,True
1166,0.8964219999999999,True
1167,0.48997,True
1168,0.990312,True
1169,0.873977,True
1170,0.320126,False
1171,0.451852,True
1172,0.954517,True
1173,0.605304,True
1174,0.05903260000000001,False
1175,0.873233,True
1176,0.171486,False
1177,0.765778,True
1178,0.224415,True
1179,0.14039400000000002,True
1180,0.7663270000000001,True
1181,0.993718,True
1182,0.58458,True
1183,0.632289,True
1184,0.356946,False
1185,0.16986500000000002,False
1186,0.354488,True
1187,0.370152,True
1188,0.922876,True
1189,0.819106,False
1190,0.779356,True
1192,0.286479,True
1193,0.983548,True
1194,0.506154,True
1195,0.619577,True
1196,0.468751,True
1199,0.396495,True
1200,0.43042,True
1201,0.638625,True
1202,0.976685,True
1204,0.740229,True
1206,0.427836,True
1207,0.990715,True
1208,0.8555520000000001,False
1209,0.597111,True
1210,0.584026,True
1211,0.956787,True
1212,0.31090300000000004,False
1213,0.944376,True
1215,0.251516,True
1216,0.143497,False
1217,0.293007,True
1219,0.176758,True
1220,0.751962,True
1221,0.533967,True
1222,0.586951,True
1223,0.463223,True
1225,0.371816,True
1226,0.797936,True
1227,0.720337,True
1228,0.734244,True
1229,0.503788,False
1230,0.8686709999999999,True
1231,0.732043,True
1232,0.829058,True
1233,0.869477,False
1235,0.720481,True
1236,0.235373,False
1237,0.625129,True
1238,0.214301,False
1239,0.105171,False
1240,0.4301350000000001,False
1241,0.459515,True
1242,0.366875,False
1243,0.7132930000000001,False
1244,0.8567889999999999,False
1245,0.7509060000000001,True
1246,0.280835,False
1247,0.731405,True
1248,0.28126,True
1249,0.536593,False
1250,0.803742,True
1251,0.948617,True
1253,0.982004,True
