Year,Quarter,U.S. Average (Current $),U.S. Average (Inflation-Adjusted $),Greater (Current $),Greater (Inflation-Adjusted $),Midway (Current $),Midway (Inflation-Adjusted $),O'Hare (Current $),O'Hare (Inflation-Adjusted $)
1995,1,296.9,494.88,290.13,483.61,151.96,253.3,340.25,567.15
1995,2,296.8,490.39,286.97,474.15,146.51,242.07,346.03,571.74
1995,3,292.19,480.67,289.16,475.68,141.37,232.57,353.43,581.41
1995,4,287.78,471.15,294.19,481.65,149.33,244.49,351.12,574.85
1996,1,283.97,460.72,291.19,472.44,152.35,247.18,339.02,550.04
1996,2,275.78,443.04,275.1,441.95,129.85,208.6,337.89,542.82
1996,3,276.63,442.06,275.06,439.54,119.95,191.68,345.08,551.44
1996,4,278.33,441.59,287.6,456.31,121.34,192.52,350.57,556.2
1997,1,283.4,446.64,296.04,466.55,136.53,215.17,351.91,554.61
1997,2,289.44,454.34,299.52,470.17,130.4,204.7,371.7,583.47
1997,3,287.22,449.09,299.63,468.5,135.08,211.2,372.26,582.05
1997,4,293.51,457.13,311.62,485.32,145.51,226.62,376.6,586.53
1998,1,304.74,473.35,327.59,508.83,154.02,239.23,391.64,608.32
1998,2,300.97,465,312.79,483.26,153.49,237.15,379.03,585.6
1998,3,309.17,475.82,328.37,505.37,195.95,301.56,378.04,581.81
1998,4,316.18,484.92,327.93,502.94,202.82,311.06,372.94,571.98
1999,1,331.74,506.83,353.61,540.24,218.56,333.92,404.59,618.13
1999,2,329.34,498.31,349.53,528.87,212.28,321.2,411.16,622.12
1999,3,323.83,486.95,329.6,495.63,205.93,309.66,384.02,577.46
1999,4,317.93,475.15,324.77,485.37,205.54,307.17,373.79,558.63
2000,1,340.23,503.48,352.63,521.84,221.57,327.89,409.28,605.67
2000,2,339.16,496.65,345.98,506.63,216.74,317.38,406.74,595.6
2000,3,339,492.48,347.34,504.61,211.99,307.97,415.57,603.72
2000,4,340.08,491.4,348.37,503.38,220.5,318.62,405.81,586.39
2001,1,347.69,497.63,351.91,503.68,225.38,322.58,410.59,587.67
2001,2,328.67,465.56,333.87,472.92,221.74,314.09,388.41,550.17
2001,3,320.62,453.57,303.45,429.27,207.05,292.9,351.74,497.58
2001,4,299.81,425.31,293.2,415.94,203.63,288.87,336.71,477.66
2002,1,320.02,452.37,311.02,439.65,220.57,311.79,357.73,505.67
2002,2,317.93,444.58,303.74,424.75,221.33,309.5,345.36,482.94
2002,3,312.33,434.9,283.38,394.58,204.6,284.89,322.71,449.35
2002,4,308.85,428.71,293.29,407.12,217.96,302.55,328.58,456.1
2003,1,319.19,438.62,291.17,400.13,218.73,300.58,325.41,447.17
2003,2,314.52,430.64,288.14,394.52,212.61,291.1,331.05,453.27
2003,3,315.36,429.68,300.62,409.6,215.27,293.3,353.47,481.61
2003,4,315.77,430.17,306.29,417.25,226.84,309.01,351.83,479.28
2004,1,320.23,432.34,303.04,409.13,226.4,305.65,343.26,463.43
2004,2,309.45,411.88,286.22,380.96,215.7,287.1,324.37,431.74
2004,3,305.41,405.08,273.24,362.41,204.47,271.2,310.03,411.2
2004,4,297.28,391.95,277,365.21,212.01,279.52,306.83,404.54
2005,1,301.39,394.88,283.14,370.97,214.35,280.84,309.81,405.92
2005,2,306.68,396.52,280.96,363.26,213.77,276.39,310.97,402.06
2005,3,307.31,392.55,280.48,358.28,211.13,269.7,314.98,402.35
2005,4,314.76,400.04,286.87,364.59,217.21,276.05,318.7,405.05
2006,1,323.34,408.73,300.01,379.24,225.06,284.5,332.45,420.25
2006,2,341.58,424.61,306.25,380.69,228.43,283.96,342.94,426.3
2006,3,328.55,406.13,295.92,365.8,218.29,269.85,333.84,412.68
2006,4,318.16,396.67,283.43,353.37,214.67,267.65,314,391.48
2007,1,317.84,392.17,285.3,352.01,223.32,275.54,310.97,383.68
2007,2,325.39,394.03,291.09,352.5,219.25,265.51,324.45,392.9
2007,3,325.26,392.8,298.45,360.42,221.7,267.73,335.47,405.13
2007,4,329.77,395.43,303.15,363.51,233.53,280.03,334.32,400.89
2008,1,333.29,395.17,317.5,376.44,252.87,299.81,344.8,408.81
2008,2,346.99,402.57,328.88,381.55,256.71,297.82,359.17,416.69
2008,3,346.38,397.24,348.57,399.75,277.05,317.73,380.21,436.03
2008,4,345.42,407.67,336.57,397.23,275.16,324.74,363.64,429.17
2009,1,313.82,372.22,307.42,364.63,247.74,293.85,334.6,396.88
2009,2,301.82,354.24,289.96,340.32,235.84,276.79,316.39,371.34
2009,3,310.35,361.79,297,346.22,238.02,277.48,326.79,380.96
2009,4,319.85,372.12,310.91,361.71,256.92,298.91,338.23,393.5
2010,1,328.12,380.21,322.26,373.43,267.12,309.53,348.02,403.27
2010,2,340.72,392.95,329.28,379.75,273.2,315.08,356.07,410.65
2010,3,336.09,387.25,332.23,382.8,270.69,311.9,361.21,416.2
2010,4,334.78,384.6,331.58,380.93,274.87,315.78,357.13,410.27
2011,1,355.72,403.55,360.38,408.84,298.07,338.15,388.97,441.28
2011,2,369.68,412.2,358.58,399.83,307.33,342.69,382.13,426.09
2011,3,363.85,404.06,345.4,383.56,288.49,320.37,370.96,411.95
2011,4,368.39,409.71,347.66,386.66,289.99,322.52,373.97,415.92
2012,1,372.83,409.33,354.16,388.83,298.23,327.43,379.1,416.22
2012,2,384.67,421.56,363.97,398.88,304.01,333.17,392.22,429.83
2012,3,374.77,407.93,350.3,381.29,288.82,314.37,379.15,412.69
2012,4,374.23,408.5,362.71,395.92,303.69,331.5,388.94,424.56
2013,1,377.93,410.12,368.36,399.73,315.14,341.98,391.19,424.51
2013,2,378,407.98,361.24,389.9,304.85,329.03,388.91,419.76
2013,3,382,410.75,384.83,413.79,325.87,350.4,412.34,443.37
2013,4,382.04,411.95,381.99,411.89,319.72,344.74,410.62,442.76
2014,1,382.15,408.95,389.74,417.07,330.82,354.02,413.32,442.3
2014,2,395.62,418.42,395.12,417.9,337.94,357.42,420.1,444.31
2014,3,391.7,413.8,395.19,417.48,331.73,350.45,424.51,448.46
2014,4,392.66,418.18,382.85,407.72,330.21,351.67,405.14,431.46
2015,1,388.32,415.81,369.31,395.45,318.57,341.12,389.19,416.74
2015,2,385.91,408.31,359.01,379.84,312.7,330.85,378.26,400.21
2015,3,371.72,392.26,328.66,346.82,294.98,311.28,342.11,361.01
2015,4,362.56,384.33,324.67,344.16,302.67,320.83,332.64,352.61
2016,1,361.2,382.63,326.09,345.44,293.27,310.68,338.31,358.38
2016,2,350.66,367.17,305.52,319.9,281.53,294.79,314.45,329.25
2016,3,343.98,358.98,297.74,310.72,269.47,281.22,308.14,321.57
2016,4,346.72,361.03,303.6,316.13,276.36,287.77,313.45,326.39
2017,1,351.85,363.5,317.07,327.57,283.22,292.6,329.2,340.1
2017,2,355.91,365.71,315.13,323.81,289.78,297.75,324.54,333.47
2017,3,335.83,343.71,284.79,291.48,261.63,267.77,293.05,299.93
2017,4,347.33,354.17,313.58,319.75,285.52,291.14,323.45,329.82
2018,1,346.49,350.2,329.44,332.98,296.23,299.41,341.14,344.81
2018,2,349.17,349.17,321.82,321.82,301.6,301.6,328.61,328.61
NOTE: Inflation-Adjusted air fares are calculated using dollars for the year of the most recent fare release.,,,,,,,,,
SOURCE: Bureau of Transportation Statistics,,,,,,,,,